P,k,seed,l,Omega_L1,Omega_AC,Omega_true,chi_AC,n_groups,max_group_size,restart_gain
8,1,3,0,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,1,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,2,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,3,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,4,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,5,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,3,7,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,0,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,1,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,2,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,3,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,4,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,5,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,4,7,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,0,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,1,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,2,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,3,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,4,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,5,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,5,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,0,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,1,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,2,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,3,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,4,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,5,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,6,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,0,8,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,0,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,1,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,2,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,3,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,4,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,5,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,6,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,1,8,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,0,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,1,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,2,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,3,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,4,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,5,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,6,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,2,8,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,0,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,1,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,2,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,3,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,4,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,5,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,6,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,3,8,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,0,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,1,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,2,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,3,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,4,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,5,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,6,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,4,8,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,0,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,1,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,2,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,3,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,4,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,5,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,6,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,7,2.0,2.0,2.0,1.0,1,1,1.0
9,1,5,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,0,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,1,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,2,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,3,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,4,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,5,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,6,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,7,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,0,9,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,0,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,1,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,2,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,3,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,4,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,5,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,6,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,7,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,1,9,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,0,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,1,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,2,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,3,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,4,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,5,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,6,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,7,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,2,9,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,0,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,1,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,2,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,3,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,4,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,5,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,6,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,7,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,8,2.0,2.0,2.0,1.0,1,1,1.0
10,1,3,9,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,0,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,1,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,2,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,3,2.0,2.0,2.0,1.0,1,1,1.0
10,1,4,4,2.0,2.0,2.0,1.0,1,1,1.0
